episode,reward,steps,epsilon
368,560.0,699,0.1580861105294992
369,390.0,513,0.1572956799768517
370,770.0,1009,0.15650920157696743
371,370.0,525,0.1557266555690826
372,650.0,675,0.1549480222912372
373,420.0,809,0.15417328217978102
374,620.0,717,0.1534024157688821
375,390.0,563,0.1526354036900377
376,1030.0,797,0.1518722266715875
377,1790.0,721,0.15111286553822956
378,2050.0,947,0.15035730121053842
379,370.0,693,0.14960551470448571
380,330.0,539,0.14885748713096328
381,350.0,551,0.14811319969530845
382,300.0,519,0.1473726336968319
383,540.0,713,0.14663577052834775
384,560.0,773,0.14590259167570602
385,250.0,505,0.1451730787173275
386,520.0,647,0.14444721332374086
387,710.0,821,0.14372497725712216
388,680.0,831,0.14300635237083656
389,300.0,577,0.14229132060898236
390,620.0,667,0.14157986400593744
391,320.0,509,0.14087196468590776
392,360.0,535,0.14016760486247823
393,570.0,651,0.13946676683816583
394,310.0,489,0.138769433003975
395,560.0,559,0.13807558583895513
396,1390.0,1215,0.13738520790976036
397,500.0,677,0.13669828187021155
398,480.0,661,0.13601479046086049
399,650.0,667,0.1353347165085562
400,260.0,615,0.1346580429260134
401,1200.0,799,0.13398475271138335
402,1190.0,879,0.13331482894782642
403,750.0,685,0.13264825480308728
404,560.0,705,0.13198501352907185
405,480.0,687,0.1313250884614265
406,260.0,441,0.13066846301911936
407,290.0,539,0.13001512070402377
408,630.0,811,0.12936504510050365
409,490.0,579,0.12871821987500112
410,1200.0,1113,0.12807462877562611
411,230.0,497,0.12743425563174798
412,380.0,553,0.12679708435358925
413,300.0,497,0.1261630989318213
414,270.0,443,0.1255322834371622
415,610.0,627,0.12490462201997637
416,360.0,543,0.1242800989098765
417,850.0,881,0.12365869841532712
418,270.0,513,0.12304040492325048
419,290.0,519,0.12242520289863423
420,360.0,471,0.12181307688414106
421,380.0,539,0.12120401149972035
422,230.0,423,0.12059799144222175
423,750.0,583,0.11999500148501063
424,580.0,689,0.11939502647758558
425,500.0,879,0.11879805134519765
426,660.0,621,0.11820406108847166
427,320.0,521,0.1176130407830293
428,440.0,429,0.11702497557911415
429,1120.0,773,0.11643985070121858
430,850.0,999,0.11585765144771248
431,290.0,545,0.11527836319047392
432,930.0,711,0.11470197137452155
433,240.0,547,0.11412846151764894
434,290.0,533,0.1135578192100607
435,800.0,681,0.11299003011401039
436,360.0,475,0.11242507996344034
437,980.0,795,0.11186295456362313
438,380.0,641,0.11130363979080501
439,600.0,657,0.11074712159185099
440,670.0,645,0.11019338598389174
441,200.0,415,0.10964241905397228
442,670.0,567,0.10909420695870241
443,320.0,487,0.1085487359239089
444,150.0,335,0.10800599224428936
445,640.0,635,0.10746596228306791
446,260.0,541,0.10692863247165257
447,290.0,451,0.1063939893092943
448,1190.0,721,0.10586201936274783
449,460.0,605,0.10533270926593409
450,530.0,539,0.10480604571960442
451,440.0,673,0.1042820154910064
452,850.0,877,0.10376060541355137
453,740.0,909,0.1032418023864836
454,420.0,563,0.10272559337455119
455,990.0,1275,0.10221196540767843
456,210.0,439,0.10170090558064004
457,1460.0,847,0.10119240105273684
458,900.0,719,0.10068643904747315
