update,episodes_completed,avg_reward,avg_score,policy_loss,value_loss,entropy,clip_frac,kl,action_diversity,unique_states,explained_variance,advantage_std,positive_adv_frac
1050,3286,104.18125,1041.8125,-0.005086108125397004,2.8307737931609154,1.9926298204809427,0.14990234375,0.0018457816040609032,2.182334002883896,1377,0.8482982653379441,2.8600640058517457,0.4459033203125
1060,3315,107.4125,1074.125,-0.0037820582947460935,5.323856640607119,2.0745367519557476,0.1583251953125,0.005015062080929056,2.1874795021555076,1283,0.8526392477750778,2.8455789351463316,0.449599609375
1070,3344,111.4125,1114.125,-0.0045888405438745394,21.876011800020933,2.0170312467962503,0.104736328125,0.003470379509963095,2.150646042350931,1331,0.8407232749462128,3.0779121994972227,0.4508935546875
1080,3370,112.70625,1127.0625,-0.005740685359342024,7.073117759078741,2.0474676489830017,0.1456298828125,0.0025209105078829452,2.1645745365961173,1176,0.8365833520889282,3.191343455314636,0.4465966796875
1090,3400,112.1625,1121.625,-0.004814560175873339,2.107620056718588,2.004337130114436,0.1319580078125,0.004414987983182073,2.179552176700267,1290,0.847983313202858,3.1162861025333406,0.442802734375
1100,3427,112.76875,1127.6875,-0.0036238728498574346,1.5471293181180954,2.0692120231688023,0.16455078125,0.004882979192188941,2.176239909553267,1168,0.8525898057222366,3.129302985668182,0.4367041015625
1110,3455,111.56875,1115.6875,-0.002931870170868933,4.66021771915257,2.028226427733898,0.121826171875,0.00202348455786705,2.166254607345217,1298,0.8539369833469391,3.1686470782756806,0.43544921875
1120,3484,107.59375,1075.9375,-0.006441336503485218,2.2714803009293973,2.031742412596941,0.153564453125,0.0033087544434238225,2.161408959816043,1058,0.8615315401554108,3.1248001039028166,0.428388671875
1130,3513,102.93125,1029.3125,-0.004077349745784886,4.079284220002592,2.01346174813807,0.139404296875,0.005411852427641861,2.1577243274160276,1234,0.8718862265348435,3.0368076074123382,0.42501953125
1140,3543,101.73125,1017.3125,-0.005803325344459154,2.344369278755039,1.9821216315031052,0.133544921875,0.003779973558266647,2.17354825321462,1128,0.8731578356027603,3.0383773839473722,0.42533203125
